行业中文名,行业简称
申万铜3,SWT3
申万投资,SWTZ
申万涂料油墨,SWTLYM
申万网络服务2,SWWLFW2
申万卫浴制品,SWWYZP
申万文化传媒,SWWHCM
申万文娱用品,SWWYYP
申万钨,SWW
申万无机盐,SWWJY
申万物流,SWWL
申万物流3,SWWL3
申万物业管理,SWWYGL
申万稀土,SWXT
申万洗衣机,SWXYJ
申万系统集成3,SWXTJC3
申万线缆部件及其他,SWXLBJJQT
申万线下药店,SWXXYD
申万橡胶,SWXJ
申万消费,SWXF
申万消费电子,SWXFDZ
申万消费电子零部件及组装,SWXFDZLBJJZZ
申万小家电,SWXJD
申万小金属,SWXJS
申万小金属3,SWXJZ3
申万鞋帽及其他,SWXMJQT
申万新能源发电,SWXNYFD
申万信息服务1,SWXXFW1
申万信息设备1,SWXXSB1
申万休闲服装,SWXXFZ
申万休闲食品,SWXXSP
申万蓄电池及其他电池,SWXDCJQTDC
申万血液制品,SWXYZP
申万养殖业,SWYZY
申万冶钢原料,SWYGYL
申万一般零售,SWYBLS
申万一般物业经营,SWYBWYJY
申万医疗服务,SWYLFW
申万医疗服务3,SWYLFW3
申万医疗耗材,SWYLHC
申万医疗器械,SWYLQX
申万医疗器械3,SWYLQX3
申万医疗设备,SWYLSB
申万医疗研发外包,SWYLYFWB
申万医药流通,SWYYLT
申万医药商业,SWYYSY
申万医药商业3,SWYYSY3
申万医药生物,SWYYSW
申万仪器仪表,SWYQYB
申万仪器仪表2,SWYQYB2
申万移动互联网服务,SWYDHLWFW
申万疫苗,SWYM
申万银行,SWYH
申万银行2,SWYH2
申万银行3,SWYH3
申万饮料乳品,SWYLRP
申万饮料制造,SWYLZZ
申万印染,SWYR
申万印刷,SWYS
申万印刷包装机械,SWYSBZJX
申万印制电路板,SWYZDLB
申万营销传播,SWYXCB
申万营销代理,SWYXDL
申万营销服务,SWYXFW
申万影视动漫,SWYSDM
申万影视动漫制作,SWYSDMZZ
申万影视院线,SWYSYX
申万油服工程,SWYFGC
申万油品石化贸易,SWYPSHMY
申万油气及炼化工程,SWYQJLHGC
申万油气钻采服务,SWYQZCFW
申万油田服务,SWYTFW
申万游戏2,SWYX2
申万游戏3,SWYX3
申万有机硅,SWYJG
申万有色金属,SWYSJS
申万有色金属冶炼2,SWYSJZYL2
申万有线电视网络,SWYXDSWL
申万娱乐用品,SWYLYP
申万渔业,SWYY
申万预加工食品,SWYJGSP
申万元件,SWYJ
申万园林工程,SWYLGC
申万园林工程2,SWYLGC2
申万园区开发2,SWYQKF2
申万园区开发3,SWYQKF3
申万原材料供应链服务,SWYCLGYLFW
申万原料药,SWYLY
申万造纸,SWZZ
申万造纸3,SWZZ3
申万粘胶,SWZJ
申万照明设备2,SWZMSB2
申万照明设备3,SWZMSB3
申万证券2,SWZQ2
申万证券3,SWZQ3
申万纸包装,SWZBZ
申万制冷空调设备,SWZLKDSB
申万制糖,SWZT
申万中间产品及消费品供应链服务,SWZJCPJXFPGYLFW
申万中药2,SWZY2
申万中药3,SWZY3
申万终端设备,SWZDSB
申万钟表珠宝,SWZBZB
申万种植业,SWZZY
申万重型机械,SWZXJX
申万珠宝首饰,SWZBSS
申万住宅开发,SWZZKF
申万专业服务,SWZYFW
申万专业工程,SWZYGC
申万专业工程3,SWZYGC3
申万专业连锁2,SWZYLS2
申万专业连锁3,SWZYLS3
申万专业市场,SWZYSC
申万专用汽车3,SWZYQC3
申万专用设备,SWZYSB
申万装饰园林3,SWZSYL3
申万装修建材,SWZXJC
申万装修装饰2,SWZXZS2
